SRNO,datetime,HEATNO,GRADE,SECTION_IC,INJ1_QTY,INJ2_QTY,BSM,SKULL,BP,HBI,OTHERS,SCRAP_QTY,PIGIRON,DRI1_QTY,DRI2_QTY,TOT_DRI_QTY,HOT_METAL,Total_Charge,Hot_Heel,DOLO,DOLO1_EMPTY,TOT_LIME_QTY,TAP_TEMP,O2ACT,ENERGY,KWH_PER_TON,KWH_PER_MIN,MELT_TIME,TA_TIME,TT_TIME,pow_on_time,TAPPING_TIME,E1_CUR,E2_CUR,E3_CUR,SPOUT,LAB_REP_TIME,C,SI,MN,P,S,CU,CR,NI,N,OPEN_C,TAP_C,IT_KG,BUCKET_NO,STATIC_WT,LIME,O2SIDE1,O2SIDE2,O2SIDE3,PREV_TAP_TIME,TAP_DURATION,LM_WT,Production
551,25-10-2023,45888,GRADE 3,C,0.009477966,0.06517517,4,0,2,0,2,8,0,12.29036,7.021012,19.31137,39.649,66.96037,9.5,3.062173,1.629468,4.071877,1602,636.4003,14695.07,214.9648,-1,38.95,11.13333333,50.08333333,25-10-2023 04:27,25-10-2023 05:06,238.9,227,239.4,321.1,25-10-2023 05:01,0.4355,0.0017,0.0227,0.012,0.054,0.0028,0.0301,0.0125,0.0032,0.4355,0.4355,141.8211,1,9.4,1.009705,722.0614,710.4722,385.7611,25-10-2023 04:16,216,4.536316,56.7
552,25-10-2023,45889,GRADE 3,C,0.002183533,0.01702344,4,0,2,0,2,8,0,9.954819,7.010663,16.96548,43.46,68.42548,9.5,2.7709,1.549461,3.871156,1603,518.6518,13447.1,197.098,-1,38.21666666,10.86666667,49.08333333,25-10-2023 05:17,25-10-2023 05:55,233,220.6,232.6,320.3,25-10-2023 05:52,0.1611,0.001,0.0248,0.014,0.043,0.0047,0.0478,0.0148,0.0032,0.1611,0.1611,156.3126,1,7.8,1.100256,685.9382,668.6873,587.7941,25-10-2023 05:06,277,4.629053,59.85
553,25-10-2023,45890,GRADE 3,A,0.01826004,0.02529175,4,0,2,0,2,8,0,9.091403,7.216998,16.3084,44.029,68.3374,9.5,1.887248,1.974149,2.793742,1604,632.713,12089.94,170.913,-1,41.15,12.8,53.95,25-10-2023 06:08,25-10-2023 06:49,240.8,226.8,239.6,321.8,25-10-2023 06:47,0.0826,0.0011,0.019,0.0111,0.0483,0.0035,0.0304,0.0139,0.0035,0.0826,0.0826,104.6016,1,10.4,0.9064941,797.7817,656.4984,593.7065,25-10-2023 05:55,490,4.662451,59.85
554,25-10-2023,45891,GRADE 3,A,-0.01065369,0.04490918,4,0,2,0,2,8,0,9.187043,7.024891,16.21193,42.489,66.70093,9.5,2.00319,1.732988,2.540662,1590,611.9005,11403.56,170.7095,-1,36.13333332,9.133333341,45.26666667,25-10-2023 06:58,25-10-2023 07:34,247,229.2,240.6,327.8,25-10-2023 07:28,0.2935,0.0009,0.0231,0.0161,0.0541,0.0018,0.0578,0.0121,0.0031,0.2935,0.2935,104.5026,1,8.1,0.5374718,731.0303,676.9846,511.7726,25-10-2023 06:49,373,4.642348,58.8
555,25-10-2023,45892,SCR420HV,A,0,0.07425427,4,0,2,0,2,8,0,12.00606,5.5084785,12.00606,43.617,63.62306,9.5,1.80226,2.00136,2.343626,1618,616.955,7550.432,119.0487,-1,34.48333333,11.33333334,45.81666667,25-10-2023 07:46,25-10-2023 08:20,245,232,245.1,328.5,25-10-2023 08:15,0.3391,0.0011,0.0208,0.0129,0.0423,0.0029,0.0529,0.0134,0.0035,0.3391,0.3391,118.3288,1,7.8,0.5413666,854.9668,727.9236,548.2983,25-10-2023 07:34,641,4.669585,57.608
556,25-10-2023,45893,SCR420HV,A,0.009549927,0.04653052,4,0,2,0,2,8,0,12.01205,5.5084785,12.01205,49.464,69.47605,9.5,1.656313,2.000556,2.173337,1583,625.336,6676.827,97.93508,-1,34.28333333,15.13333334,49.41666667,25-10-2023 08:35,25-10-2023 09:10,244.9,229.6,244.6,325.1,25-10-2023 09:04,0.3599,0.0023,0.0253,0.017,0.0434,0.0026,0.0419,0.0149,0.0032,0.3599,0.3599,116.1464,1,6.7,0.517024,849.1993,822.5774,750.2513,25-10-2023 08:20,489,4.659857,55.754
557,25-10-2023,45894,52CRMOV4,A,0.018703965,0.04134241,4,0,2,0,2,8,0,8.580595,7.017391,15.59799,43.12,66.71799,9.5,1.663439,1.66871,1.702387,1642,606.4764,10654.77,158.9838,-1,36.54999999,13,49.54999999,25-10-2023 09:23,25-10-2023 09:59,247.6,233.8,246.5,324.4,25-10-2023 09:54,0.2708,0.0011,0.0193,0.014,0.0474,0.0029,0.0578,0.0129,0.0035,0.2708,0.2708,71.23557,1,8.3,0.03894806,739.8728,690.7888,602.9957,25-10-2023 09:10,277,4.651427,55.688
558,25-10-2023,45895,GRADE 3,A,0,0.0358302,4,0,2,0,2,8,0,8.027799,4.005625,12.03342,42.65,62.68342,9.5,1.857835,2.20471,2.376806,1610,726.1563,6520.826,101.2811,-1,39.2,28.2,67.4,25-10-2023 10:27,25-10-2023 11:07,240.6,227.3,240.1,318.2,25-10-2023 10:59,0.399,0.0022,0.0282,0.02,0.0458,0.0018,0.0609,0.0136,0.003,0.399,0.399,109.3618,1,9.7,0.5189705,896.1858,794.6828,671.7521,25-10-2023 09:59,349,4.718872,50.4
559,25-10-2023,45896,GRADE 3,A,0,0.09484412,4,0,2,0,2,8,0,12.00446,5.5084785,12.00446,44.266,64.27046,9.5,1.720356,2.060381,2.244194,1555,582.2084,9048.015,135.5092,-1,34.25,10.21666667,44.46666667,25-10-2023 11:17,25-10-2023 11:51,241.5,228.4,239.5,319.6,25-10-2023 11:42,0.4937,0.0021,0.0347,0.017,0.0504,0.0029,0.0458,0.0132,0.0033,0.4937,0.4937,99.72217,1,10.5,0.523838,866.7474,834.4599,659.8606,25-10-2023 11:07,272,4.643321,53.55
560,25-10-2023,45897,GRADE 3,A,0,0.07992896,4,0,2,0,2,8,0,10.85635,5.5084785,10.85635,44.59,63.44635,9.5,1.50305,1.504682,3.1028,1631,520.0519,8002.835,122.468,-1,39.06666666,9.483333339,48.55,25-10-2023 12:01,25-10-2023 12:40,240.8,225.6,232,322.9,25-10-2023 12:37,0.0739,0.0012,0.0267,0.017,0.0461,0.0025,0.0538,0.014,0.0031,0.116,0.0739,149.4868,1,9.9,1.599751,775.5081,750.4796,655.5674,25-10-2023 11:51,232,4.571012,54.95
